IdArticu;IdFamilia;Familia
726080;2;ESPECIALIDADES
726132;2;ESPECIALIDADES
726150;2;ESPECIALIDADES
726151;1;NUEVO ESPECIALIDADES
726161;22;ESP.   E.F.P
726164;20;ESP. PVP > 143,05 €
726213;2;ESPECIALIDADES
726218;2;ESPECIALIDADES
726224;2;ESPECIALIDADES
726285;22;ESP.   E.F.P
726287;22;ESP.   E.F.P
726359;2;ESPECIALIDADES
726360;2;ESPECIALIDADES
726378;2;ESPECIALIDADES
726379;2;ESPECIALIDADES
726381;2;ESPECIALIDADES
726382;2;ESPECIALIDADES
726387;1;NUEVO ESPECIALIDADES
726388;2;ESPECIALIDADES
726398;2;ESPECIALIDADES
726408;2;ESPECIALIDADES
726431;22;ESP.   E.F.P
726476;1;NUEVO ESPECIALIDADES
726509;23;ESP.   E.F.G
726569;2;ESPECIALIDADES
726590;2;ESPECIALIDADES
726594;2;ESPECIALIDADES
726604;23;ESP.   E.F.G
726632;1;NUEVO ESPECIALIDADES
726634;2;ESPECIALIDADES
726669;20;ESP. PVP > 143,05 €
726790;2;ESPECIALIDADES
726795;2;ESPECIALIDADES
726796;2;ESPECIALIDADES
726874;23;ESP.   E.F.G
726875;23;ESP.   E.F.G
726898;1;NUEVO ESPECIALIDADES
726906;2;ESPECIALIDADES
726950;23;ESP.   E.F.G
726992;23;ESP.   E.F.G
727037;22;ESP.   E.F.P
727065;2;ESPECIALIDADES
727081;23;ESP.   E.F.G
727183;23;ESP.   E.F.G
727184;23;ESP.   E.F.G
727185;23;ESP.   E.F.G
727186;23;ESP.   E.F.G
727187;23;ESP.   E.F.G
727205;22;ESP.   E.F.P
727217;22;ESP.   E.F.P
727254;2;ESPECIALIDADES
727257;2;ESPECIALIDADES
727288;2;ESPECIALIDADES
727293;22;ESP.   E.F.P
727340;23;ESP.   E.F.G
727346;2;ESPECIALIDADES
727355;22;ESP.   E.F.P
727356;22;ESP.   E.F.P
727369;22;ESP.   E.F.P
727371;22;ESP.   E.F.P
727388;2;ESPECIALIDADES
727397;23;ESP.   E.F.G
727401;23;ESP.   E.F.G
727402;23;ESP.   E.F.G
727433;23;ESP.   E.F.G
727434;23;ESP.   E.F.G
727435;23;ESP.   E.F.G
727437;23;ESP.   E.F.G
727474;2;ESPECIALIDADES
727479;1;NUEVO ESPECIALIDADES
727483;2;ESPECIALIDADES
727485;2;ESPECIALIDADES
727488;1;NUEVO ESPECIALIDADES
727529;2;ESPECIALIDADES
727537;2;ESPECIALIDADES
727565;23;ESP.   E.F.G
727579;1;NUEVO ESPECIALIDADES
727581;2;ESPECIALIDADES
727582;2;ESPECIALIDADES
727583;2;ESPECIALIDADES
727642;2;ESPECIALIDADES
727646;2;ESPECIALIDADES
727671;23;ESP.   E.F.G
727707;23;ESP.   E.F.G
727755;2;ESPECIALIDADES
727781;1;NUEVO ESPECIALIDADES
727806;2;ESPECIALIDADES
727829;23;ESP.   E.F.G
727854;2;ESPECIALIDADES
727875;2;ESPECIALIDADES
727904;2;ESPECIALIDADES
727907;1;NUEVO ESPECIALIDADES
727910;2;ESPECIALIDADES
727911;2;ESPECIALIDADES
727917;2;ESPECIALIDADES
727918;2;ESPECIALIDADES
727949;2;ESPECIALIDADES
727950;20;ESP. PVP > 143,05 €
728145;1;NUEVO ESPECIALIDADES
728154;2;ESPECIALIDADES
728190;1;NUEVO ESPECIALIDADES
728195;2;ESPECIALIDADES
728196;2;ESPECIALIDADES
728198;20;ESP. PVP > 143,05 €
728215;2;ESPECIALIDADES
728219;1;NUEVO ESPECIALIDADES
728220;2;ESPECIALIDADES
728221;2;ESPECIALIDADES
728222;23;ESP.   E.F.G
728226;2;ESPECIALIDADES
728234;20;ESP. PVP > 143,05 €
728240;2;ESPECIALIDADES
728279;23;ESP.   E.F.G
728315;2;ESPECIALIDADES
728316;2;ESPECIALIDADES
728317;2;ESPECIALIDADES
728324;20;ESP. PVP > 143,05 €
728325;1;NUEVO ESPECIALIDADES
728326;2;ESPECIALIDADES
728327;2;ESPECIALIDADES
728345;2;ESPECIALIDADES
728381;23;ESP.   E.F.G
728394;1;NUEVO ESPECIALIDADES
728425;2;ESPECIALIDADES
728456;2;ESPECIALIDADES
728476;2;ESPECIALIDADES
728492;2;ESPECIALIDADES
728605;22;ESP.   E.F.P
728658;1;NUEVO ESPECIALIDADES
728659;23;ESP.   E.F.G
728663;2;ESPECIALIDADES
728743;1;NUEVO ESPECIALIDADES
728746;2;ESPECIALIDADES
728788;2;ESPECIALIDADES
728804;23;ESP.   E.F.G
728862;22;ESP.   E.F.P
728894;2;ESPECIALIDADES
728933;2;ESPECIALIDADES
728934;2;ESPECIALIDADES
728936;23;ESP.   E.F.G
728937;23;ESP.   E.F.G
728938;23;ESP.   E.F.G
728939;23;ESP.   E.F.G
728940;23;ESP.   E.F.G
728954;1;NUEVO ESPECIALIDADES
728974;1;NUEVO ESPECIALIDADES
728979;2;ESPECIALIDADES
729053;23;ESP.   E.F.G
729061;2;ESPECIALIDADES
729066;1;NUEVO ESPECIALIDADES
729079;2;ESPECIALIDADES
729095;23;ESP.   E.F.G
729103;23;ESP.   E.F.G
729121;2;ESPECIALIDADES
729152;2;ESPECIALIDADES
729180;2;ESPECIALIDADES
729194;22;ESP.   E.F.P
729195;2;ESPECIALIDADES
729196;2;ESPECIALIDADES
729242;2;ESPECIALIDADES
729246;23;ESP.   E.F.G
729303;22;ESP.   E.F.P
729304;20;ESP. PVP > 143,05 €
729510;2;ESPECIALIDADES
729513;2;ESPECIALIDADES
729524;2;ESPECIALIDADES
729566;2;ESPECIALIDADES
729579;2;ESPECIALIDADES
729580;2;ESPECIALIDADES
729592;1;NUEVO ESPECIALIDADES
729596;2;ESPECIALIDADES
729599;2;ESPECIALIDADES
729600;1;NUEVO ESPECIALIDADES
729674;23;ESP.   E.F.G
729736;1;NUEVO ESPECIALIDADES
729742;2;ESPECIALIDADES
729744;2;ESPECIALIDADES
729777;2;ESPECIALIDADES
729877;2;ESPECIALIDADES
729878;2;ESPECIALIDADES
729879;1;NUEVO ESPECIALIDADES
729880;2;ESPECIALIDADES
729913;2;ESPECIALIDADES
729914;21;ESP. PVP > 850 €
729915;2;ESPECIALIDADES
729916;2;ESPECIALIDADES
730012;2;ESPECIALIDADES
730036;22;ESP.   E.F.P
730053;2;ESPECIALIDADES
730100;2;ESPECIALIDADES
730223;23;ESP.   E.F.G
730224;23;ESP.   E.F.G
730247;4;DIETETICA
730253;2;ESPECIALIDADES
730287;22;ESP.   E.F.P
730308;2;ESPECIALIDADES
730335;2;ESPECIALIDADES
730394;23;ESP.   E.F.G
730397;1;NUEVO ESPECIALIDADES
730410;22;ESP.   E.F.P
730412;22;ESP.   E.F.P
730420;1;NUEVO ESPECIALIDADES
730514;1;NUEVO ESPECIALIDADES
730517;22;ESP.   E.F.P
730606;23;ESP.   E.F.G
730618;2;ESPECIALIDADES
730660;2;ESPECIALIDADES
730671;22;ESP.   E.F.P
730791;2;ESPECIALIDADES
730796;22;ESP.   E.F.P
730887;2;ESPECIALIDADES
730889;2;ESPECIALIDADES
730891;23;ESP.   E.F.G
730940;22;ESP.   E.F.P
730941;22;ESP.   E.F.P
731007;2;ESPECIALIDADES
731036;23;ESP.   E.F.G
731047;2;ESPECIALIDADES
731078;2;ESPECIALIDADES
731079;2;ESPECIALIDADES
731090;2;ESPECIALIDADES
731092;1;NUEVO ESPECIALIDADES
731103;1;NUEVO ESPECIALIDADES
731116;22;ESP.   E.F.P
731199;2;ESPECIALIDADES
731200;1;NUEVO ESPECIALIDADES
731271;2;ESPECIALIDADES
731275;2;ESPECIALIDADES
731326;2;ESPECIALIDADES
731344;2;ESPECIALIDADES
731349;2;ESPECIALIDADES
731388;2;ESPECIALIDADES
731397;22;ESP.   E.F.P
731440;2;ESPECIALIDADES
731471;1;NUEVO ESPECIALIDADES
731472;23;ESP.   E.F.G
731486;2;ESPECIALIDADES
731488;2;ESPECIALIDADES
731494;2;ESPECIALIDADES
731495;2;ESPECIALIDADES
731502;2;ESPECIALIDADES
731511;2;ESPECIALIDADES
731512;2;ESPECIALIDADES
731535;2;ESPECIALIDADES
731558;2;ESPECIALIDADES
731647;1;NUEVO ESPECIALIDADES
731679;2;ESPECIALIDADES
731813;2;ESPECIALIDADES
731820;2;ESPECIALIDADES
731856;2;ESPECIALIDADES
731860;23;ESP.   E.F.G
731884;2;ESPECIALIDADES
732026;23;ESP.   E.F.G
732027;23;ESP.   E.F.G
732028;23;ESP.   E.F.G
732029;23;ESP.   E.F.G
732063;2;ESPECIALIDADES
732121;2;ESPECIALIDADES
732137;2;ESPECIALIDADES
732186;2;ESPECIALIDADES
732438;22;ESP.   E.F.P
732439;2;ESPECIALIDADES
732530;1;NUEVO ESPECIALIDADES
732543;1;NUEVO ESPECIALIDADES
732599;23;ESP.   E.F.G
732600;23;ESP.   E.F.G
732675;2;ESPECIALIDADES
732676;2;ESPECIALIDADES
732679;2;ESPECIALIDADES
732680;2;ESPECIALIDADES
732698;2;ESPECIALIDADES
732742;22;ESP.   E.F.P
